Butler,0.002,0.004,0.011,0.053,0.117,0.577
Oklahoma,0.003,0.006,0.012,0.026,0.071,0.496
Providence,0.001,0.003,0.007,0.02,0.062,0.496
Texas,0.002,0.003,0.008,0.04,0.114,0.547
Syracuse,0.001,0.002,0.004,0.01,0.032,0.238
Loyola (IL),0.001,0.002,0.004,0.017,0.086,0.332
San Diego State,0.001,0.002,0.004,0.012,0.058,0.331
St. Bonaventure,0.001,0.001,0.003,0.011,0.048,0.177
Davidson,0.001,0.002,0.004,0.01,0.048,0.195
Murray State,0.001,0.001,0.003,0.007,0.042,0.163
New Mexico State,0.001,0.002,0.004,0.013,0.102,0.276
South Dakota State,0.001,0.002,0.003,0.009,0.036,0.23
Buffalo,0.001,0.001,0.003,0.007,0.028,0.09
College of Charleston,0.001,0.001,0.003,0.007,0.034,0.125
Marshall,0.001,0.001,0.003,0.007,0.035,0.132
North Carolina-Greensboro,0,0.001,0.003,0.007,0.024,0.069
Bucknell,0.001,0.001,0.003,0.006,0.024,0.057
Montana,0.001,0.001,0.003,0.006,0.022,0.061
Stephen F. Austin,0.001,0.001,0.003,0.009,0.044,0.137
Wright State,0.001,0.001,0.002,0.007,0.027,0.089
Cal State Fullerton,0.001,0.001,0.003,0.01,0.017,0.04
Georgia State,0.001,0.001,0.003,0.012,0.026,0.067
Iona,0.001,0.001,0.003,0.009,0.016,0.037
Lipscomb,0.001,0.001,0.003,0.01,0.017,0.037
Texas Southern,0.001,0.002,0.005,0.008,0.013,0.029
Pennsylvania,0.002,0.004,0.006,0.011,0.02,0.043
Radford,0.001,0.002,0.005,0.008,0.013,0.027
Maryland-Baltimore County,0.001,0.003,0.006,0.008,0.014,0.03
Kansas,0.08,0.152,0.31,0.749,0.867,0.957
Virginia,0.207,0.355,0.508,0.606,0.908,0.97
Villanova,0.156,0.32,0.588,0.744,0.884,0.973
Xavier,0.034,0.078,0.219,0.484,0.821,0.971
Cincinnati,0.023,0.056,0.122,0.526,0.777,0.933
Duke,0.097,0.176,0.3,0.488,0.843,0.963
Purdue,0.031,0.07,0.184,0.589,0.79,0.961
North Carolina,0.069,0.154,0.348,0.562,0.861,0.963
Michigan,0.037,0.078,0.192,0.321,0.753,0.939
Michigan State,0.083,0.162,0.281,0.413,0.831,0.943
Tennessee,0.009,0.02,0.052,0.279,0.644,0.911
Texas Tech,0.006,0.014,0.046,0.19,0.555,0.863
Arizona,0.049,0.107,0.175,0.222,0.585,0.91
Auburn,0.004,0.01,0.027,0.102,0.509,0.875
Gonzaga,0.021,0.052,0.143,0.346,0.696,0.931
Wichita State,0.005,0.012,0.038,0.076,0.43,0.868
Clemson,0.003,0.007,0.017,0.065,0.355,0.724
Kentucky,0.021,0.041,0.083,0.121,0.34,0.806
Ohio State,0.005,0.01,0.026,0.086,0.243,0.77
West Virginia,0.008,0.018,0.058,0.108,0.492,0.837
Florida,0.004,0.008,0.023,0.11,0.354,0.823
Houston,0.002,0.005,0.017,0.047,0.167,0.669
Miami (FL),0.002,0.005,0.013,0.09,0.243,0.668
Texas Christian,0.001,0.003,0.009,0.028,0.114,0.762
Arkansas,0.002,0.003,0.007,0.03,0.076,0.423
Nevada,0.001,0.002,0.005,0.029,0.083,0.453
Texas A&M,0.001,0.003,0.008,0.022,0.06,0.504
Rhode Island,0.001,0.003,0.008,0.021,0.07,0.504
Creighton,0.001,0.002,0.006,0.014,0.041,0.565
Missouri,0.002,0.004,0.011,0.039,0.101,0.537
Seton Hall,0.001,0.002,0.006,0.024,0.05,0.474
Virginia Tech,0.002,0.003,0.009,0.019,0.044,0.498
Alabama,0.003,0.006,0.015,0.03,0.059,0.502
Florida State,0.001,0.003,0.007,0.022,0.065,0.463
Kansas State,0.001,0.002,0.005,0.012,0.037,0.435
North Carolina State,0.002,0.004,0.008,0.03,0.063,0.526